product_id,weight_g,volume_cm3,category
5f504b3a1c75b73d6151be81eb05bdc9,15350.0,88360.0,cool_stuff
701ff123e9085dcc9c2f833efded6374,10664.0,134505.0,cool_stuff
84e1b9c6ba2ed178bd217097b41f1251,10893.0,127776.0,moveis_cozinha_area_de_servico_jantar_e_jardim
b5d214651360e2d58e13b48ae69c6199,10400.0,62100.0,bebes
cc3181a81384b6fc34602d49cb6068a6,18450.0,59976.0,eletrodomesticos_2
d1ff1a1223a2739d17005c9f4c4a40b6,10100.0,56980.0,papelaria
cea7edf64d9e93fbf6b89cc3ba537cd9,25000.0,64000.0,ferramentas_jardim
db56f6d2b04c89eae4daba188842fd7b,12450.0,57000.0,malas_acessorios
a04087ab6a96ffa041f8a2701a72b616,13700.0,71550.0,pcs
fdbfd4cec6db6e89f22d9aa2c4839eed,20050.0,75625.0,casa_construcao
94a75895c8f08d597e9a2d9447170fd4,11500.0,64000.0,papelaria
63085bb4366ded27bcb63cbb59b4103a,13100.0,78584.0,bebes
dc66bd48cefb7c7c6ad6684a305b6bf7,13050.0,88000.0,cama_mesa_banho
98c0c93d863d3da23549a04d45033e06,17950.0,87808.0,utilidades_domesticas
d239ed6ed6dabbcbfd8a3b776e1ca50c,30000.0,216000.0,utilidades_domesticas
fca62108387e25005784da2f551466a1,14600.0,56448.0,moveis_decoracao
a2ff5a97bf95719e38ea2e3b4105bce8,11800.0,61920.0,eletroportateis
43cc8e4d981bc04b9d78b12e8a908d41,11450.0,54080.0,beleza_saude
d070415dddac66bcbc0a2e4f253c0f81,20100.0,137677.0,automotivo
4aa6014eceb682077f9dc4bffebc05b0,10150.0,53400.0,utilidades_domesticas
bb099f12bf2833153c9def3538cb52dc,10700.0,64000.0,malas_acessorios
aed75ad669fbebd5a385ac7cc2ae7573,30000.0,210000.0,beleza_saude
99e28f7c171b6945dc991d1178ffedfe,14000.0,52272.0,utilidades_domesticas
e0c47a145f4748e4d7a418502d65aa35,19500.0,269800.0,cool_stuff
675921526583e0b3096c3f811d46a7a0,18950.0,174592.0,moveis_escritorio
194e74feac1f84a8ee5a517d4b3e107a,14150.0,73008.0,pcs
1c93b38903bf11d9a9bd28f3c65481d6,19800.0,23625.0,casa_conforto
9820e04e332fc450d6fd975befc1bc28,10800.0,48000.0,
7a2f315c0441e5d437270cdfcb089c43,13700.0,137500.0,moveis_decoracao
0efb0a47500c44e05a5930cae12307d4,18400.0,134673.0,malas_acessorios
dfe123265435bbc08b40fc418f66d9a3,15467.0,99200.0,esporte_lazer
70b8127a4ee86d4b37b3eaf5e337e91b,18900.0,96600.0,bebes
59f09deeea7c839a9212a19f3416b892,30000.0,114840.0,utilidades_domesticas
d70f38e7f79c630f8ea00c993897042c,10950.0,65600.0,bebes
3ff22524016b71a48fd1e5054632985c,24050.0,144000.0,cama_mesa_banho
30ac6df06dc59ad72cf2f158fc2d904c,16550.0,57200.0,utilidades_domesticas
835e3f51a6ef088097cc8cf42f08fd17,24700.0,48608.0,moveis_escritorio
4754d89182db4010eabbf20da5fb7191,19300.0,102459.0,utilidades_domesticas
84777fa5b1c62e5e495240dfd0b2f24a,10667.0,63916.0,moveis_decoracao
d88d2f4938825da4771d7972d76c5da7,30000.0,189600.0,esporte_lazer
7814c273ab16783d73a9863ebfa8b141,12250.0,70875.0,moveis_decoracao
0ab20af8197d84bc8831765be67b4cc6,11100.0,78584.0,bebes
