customer_id,customer_state
6e359a57a91f84095cc64e1b351aef8c,SP
df0aa5b8586495e0ddf6b601122e43a1,SP
df85b96ba2ce3e49bde101b1614f52ac,PR
3ccb27f9c7ee205656acef98c19fc061,RS
154e666b681104319714a99a3ab71e44,MG
ae8db0691449a44352e7d535ddf78c5e,SP
4d5110d0a2b5239cb983610da1d18774,SP
852947b57caab58c544343592f5e06d2,SP
1004c05877ddf8196ad1341ca602e628,SP
4b003ee1eabaffe8ff8e6d75394a9b42,BA
1681471e9172d7e12ba08e9ac9e8628b,RJ
71e31bd9c37b8a1cacc557b87b3e50cb,DF
d703cdda08125e2b263b92746af0f23c,SP
a4a00c41b5e3ed88bf0e0bb96576c2b2,RJ
d1d326edcb5fc3e9aadd6e86b7a57910,SP
620c2e659b5d119813362bfe4bbe8634,SP
e773252cc3222d0c3ae7694b271e2e32,SP
6e99b4a37b2d5aa40cb85bdfcf9dc0eb,SP
6ca7c0e971c24ce0931f148588ef23ce,MG
f3bb4ca2244dc44f761b7becf03acebb,SP
7d81b5f1ff0e0a22a9496943f1df6cbd,SP
48ed31e735f1c420ed6ca3637b7c744d,SP
41ce2a54c0b03bf3443c3d931a367089,GO
4cd274ce8ba240b1cff6480fa9911df1,SP
59114bde7ce6b9fd6ed88bb8dc422d46,RS
b8e0b0edff2de6181d492311d927769e,RJ
307329610b09cf8c45bec0d871eb1ec8,SP
7f4f07b97783e894fccff9d72e0988b3,SC
5ad934ace4646e3dad70148a823eb138,MG
4865bc634919f9ff8358eb16eadba34c,ES
2be831e199cd5308b6e3ab6f36718526,SP
33f382bbe8b6dd6a3b7f4f161b05e45e,SP
f4302056f0c58570522590f8181de2c7,PI
9aad6db5643769b3d802a87328ec31e2,RJ
edaa9852dc9c501799d0062442a05a52,SP
958f8d94c5c2d21ccf6a43d0e3d50308,SP
b68c905ab520e155e3e405bbf8dc1bb0,RJ
17ebae22126d3df35f5e1fa1efedab94,SP
a18e4956844fab232555e2bfd53eca5e,PA
591cb16ea1a6d8f7eebd0a349593bea2,MT
